rank,file,path,ok,returncode,dg_kcal_mol,kd_M,intermolecular_contacts,charged_charged_contacts,charged_polar_contacts,charged_apolar_contacts,polar_polar_contacts,apolar_polar_contacts,apolar_apolar_contacts,stdout,stderr
11,NB_FP_0141.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0141.pdb,True,0,-11.0,7.9e-09,41,0.0,5.0,5.0,2.0,25.0,4.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0141_model0
[+] No. of intermolecular contacts: 41
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 25.0
[+] No. of apolar-apolar contacts: 4.0
[+] Percentage of apolar NIS residues: 43.36
[+] Percentage of charged NIS residues: 18.65
[++] Predicted binding affinity (kcal.mol-1):    -11.0
[++] Predicted dissociation constant (M) at 25.0˚C:  7.9e-09
",
12,NB_FP_0210.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0210.pdb,True,0,-10.9,1.0e-08,50,1.0,5.0,6.0,1.0,22.0,15.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0210_model0
[+] No. of intermolecular contacts: 50
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 6.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 22.0
[+] No. of apolar-apolar contacts: 15.0
[+] Percentage of apolar NIS residues: 42.33
[+] Percentage of charged NIS residues: 19.07
[++] Predicted binding affinity (kcal.mol-1):    -10.9
[++] Predicted dissociation constant (M) at 25.0˚C:  1.0e-08
",
13,NB_FP_0256.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0256.pdb,True,0,-10.8,1.1e-08,67,4.0,8.0,8.0,4.0,23.0,20.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0256_model0
[+] No. of intermolecular contacts: 67
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 8.0
[+] No. of charged-apolar contacts: 8.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 23.0
[+] No. of apolar-apolar contacts: 20.0
[+] Percentage of apolar NIS residues: 42.99
[+] Percentage of charged NIS residues: 19.48
[++] Predicted binding affinity (kcal.mol-1):    -10.8
[++] Predicted dissociation constant (M) at 25.0˚C:  1.1e-08
",
14,NB_FP_0090.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0090.pdb,True,0,-10.7,1.5e-08,80,2.0,7.0,6.0,6.0,25.0,34.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0090_model0
[+] No. of intermolecular contacts: 80
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 6.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 25.0
[+] No. of apolar-apolar contacts: 34.0
[+] Percentage of apolar NIS residues: 42.86
[+] Percentage of charged NIS residues: 18.37
[++] Predicted binding affinity (kcal.mol-1):    -10.7
[++] Predicted dissociation constant (M) at 25.0˚C:  1.5e-08
",
15,NB_FP_0238.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0238.pdb,True,0,-10.7,1.4e-08,64,2.0,6.0,10.0,4.0,22.0,20.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0238_model0
[+] No. of intermolecular contacts: 64
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 22.0
[+] No. of apolar-apolar contacts: 20.0
[+] Percentage of apolar NIS residues: 43.29
[+] Percentage of charged NIS residues: 18.29
[++] Predicted binding affinity (kcal.mol-1):    -10.7
[++] Predicted dissociation constant (M) at 25.0˚C:  1.4e-08
",
16,NB_FP_0044.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0044.pdb,True,0,-10.7,1.3e-08,68,5.0,13.0,15.0,3.0,18.0,14.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0044_model0
[+] No. of intermolecular contacts: 68
[+] No. of charged-charged contacts: 5.0
[+] No. of charged-polar contacts: 13.0
[+] No. of charged-apolar contacts: 15.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 18.0
[+] No. of apolar-apolar contacts: 14.0
[+] Percentage of apolar NIS residues: 42.42
[+] Percentage of charged NIS residues: 19.81
[++] Predicted binding affinity (kcal.mol-1):    -10.7
[++] Predicted dissociation constant (M) at 25.0˚C:  1.3e-08
",
17,NB_FP_0029.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0029.pdb,True,0,-10.7,1.4e-08,77,3.0,8.0,12.0,6.0,22.0,26.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0029_model0
[+] No. of intermolecular contacts: 77
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 8.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 22.0
[+] No. of apolar-apolar contacts: 26.0
[+] Percentage of apolar NIS residues: 42.17
[+] Percentage of charged NIS residues: 19.12
[++] Predicted binding affinity (kcal.mol-1):    -10.7
[++] Predicted dissociation constant (M) at 25.0˚C:  1.4e-08
",
18,NB_FP_0163.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0163.pdb,True,0,-10.6,1.7e-08,55,5.0,8.0,11.0,3.0,19.0,9.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0163_model0
[+] No. of intermolecular contacts: 55
[+] No. of charged-charged contacts: 5.0
[+] No. of charged-polar contacts: 8.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 19.0
[+] No. of apolar-apolar contacts: 9.0
[+] Percentage of apolar NIS residues: 42.76
[+] Percentage of charged NIS residues: 19.16
[++] Predicted binding affinity (kcal.mol-1):    -10.6
[++] Predicted dissociation constant (M) at 25.0˚C:  1.7e-08
",
19,NB_FP_0018.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0018.pdb,True,0,-10.6,1.5e-08,57,5.0,9.0,19.0,3.0,15.0,6.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0018_model0
[+] No. of intermolecular contacts: 57
[+] No. of charged-charged contacts: 5.0
[+] No. of charged-polar contacts: 9.0
[+] No. of charged-apolar contacts: 19.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 6.0
[+] Percentage of apolar NIS residues: 41.84
[+] Percentage of charged NIS residues: 19.31
[++] Predicted binding affinity (kcal.mol-1):    -10.6
[++] Predicted dissociation constant (M) at 25.0˚C:  1.5e-08
",
20,NB_FP_0128.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0128.pdb,True,0,-10.6,1.8e-08,66,0.0,4.0,6.0,6.0,26.0,24.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0128_model0
[+] No. of intermolecular contacts: 66
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 6.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 26.0
[+] No. of apolar-apolar contacts: 24.0
[+] Percentage of apolar NIS residues: 43.86
[+] Percentage of charged NIS residues: 18.18
[++] Predicted binding affinity (kcal.mol-1):    -10.6
[++] Predicted dissociation constant (M) at 25.0˚C:  1.8e-08
",
21,NB_FP_0057.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0057.pdb,True,0,-10.6,1.8e-08,51,1.0,7.0,5.0,5.0,25.0,8.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0057_model0
[+] No. of intermolecular contacts: 51
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 25.0
[+] No. of apolar-apolar contacts: 8.0
[+] Percentage of apolar NIS residues: 43.38
[+] Percentage of charged NIS residues: 18.49
[++] Predicted binding affinity (kcal.mol-1):    -10.6
[++] Predicted dissociation constant (M) at 25.0˚C:  1.8e-08
",
22,NB_FP_0009.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0009.pdb,True,0,-10.5,2.0e-08,49,3.0,2.0,11.0,5.0,21.0,7.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0009_model0
[+] No. of intermolecular contacts: 49
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 2.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 21.0
[+] No. of apolar-apolar contacts: 7.0
[+] Percentage of apolar NIS residues: 43.12
[+] Percentage of charged NIS residues: 18.51
[++] Predicted binding affinity (kcal.mol-1):    -10.5
[++] Predicted dissociation constant (M) at 25.0˚C:  2.0e-08
",
23,NB_FP_0015.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0015.pdb,True,0,-10.5,1.9e-08,63,4.0,6.0,8.0,6.0,23.0,16.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0015_model0
[+] No. of intermolecular contacts: 63
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 8.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 23.0
[+] No. of apolar-apolar contacts: 16.0
[+] Percentage of apolar NIS residues: 43.09
[+] Percentage of charged NIS residues: 18.66
[++] Predicted binding affinity (kcal.mol-1):    -10.5
[++] Predicted dissociation constant (M) at 25.0˚C:  1.9e-08
",
24,NB_FP_0104.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0104.pdb,True,0,-10.5,2.0e-08,40,0.0,6.0,3.0,2.0,23.0,6.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0104_model0
[+] No. of intermolecular contacts: 40
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 3.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 23.0
[+] No. of apolar-apolar contacts: 6.0
[+] Percentage of apolar NIS residues: 43.09
[+] Percentage of charged NIS residues: 18.20
[++] Predicted binding affinity (kcal.mol-1):    -10.5
[++] Predicted dissociation constant (M) at 25.0˚C:  2.0e-08
",
25,NB_FP_0088.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0088.pdb,True,0,-10.5,1.9e-08,46,3.0,6.0,10.0,3.0,20.0,4.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0088_model0
[+] No. of intermolecular contacts: 46
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 20.0
[+] No. of apolar-apolar contacts: 4.0
[+] Percentage of apolar NIS residues: 43.22
[+] Percentage of charged NIS residues: 18.62
[++] Predicted binding affinity (kcal.mol-1):    -10.5
[++] Predicted dissociation constant (M) at 25.0˚C:  1.9e-08
",
26,NB_FP_0218.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0218.pdb,True,0,-10.5,2.0e-08,52,0.0,7.0,8.0,3.0,22.0,12.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0218_model0
[+] No. of intermolecular contacts: 52
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 8.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 22.0
[+] No. of apolar-apolar contacts: 12.0
[+] Percentage of apolar NIS residues: 43.26
[+] Percentage of charged NIS residues: 18.60
[++] Predicted binding affinity (kcal.mol-1):    -10.5
[++] Predicted dissociation constant (M) at 25.0˚C:  2.0e-08
",
27,NB_FP_0047.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0047.pdb,True,0,-10.5,2.1e-08,63,1.0,6.0,9.0,6.0,24.0,17.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0047_model0
[+] No. of intermolecular contacts: 63
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 9.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 24.0
[+] No. of apolar-apolar contacts: 17.0
[+] Percentage of apolar NIS residues: 43.06
[+] Percentage of charged NIS residues: 19.44
[++] Predicted binding affinity (kcal.mol-1):    -10.5
[++] Predicted dissociation constant (M) at 25.0˚C:  2.1e-08
",
28,NB_FP_0060.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0060.pdb,True,0,-10.5,1.9e-08,63,2.0,7.0,9.0,4.0,22.0,19.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0060_model0
[+] No. of intermolecular contacts: 63
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 9.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 22.0
[+] No. of apolar-apolar contacts: 19.0
[+] Percentage of apolar NIS residues: 43.46
[+] Percentage of charged NIS residues: 18.69
[++] Predicted binding affinity (kcal.mol-1):    -10.5
[++] Predicted dissociation constant (M) at 25.0˚C:  1.9e-08
",
29,NB_FP_0152.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0152.pdb,True,0,-10.4,2.4e-08,69,1.0,10.0,13.0,4.0,20.0,21.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0152_model0
[+] No. of intermolecular contacts: 69
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 10.0
[+] No. of charged-apolar contacts: 13.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 20.0
[+] No. of apolar-apolar contacts: 21.0
[+] Percentage of apolar NIS residues: 43.75
[+] Percentage of charged NIS residues: 18.29
[++] Predicted binding affinity (kcal.mol-1):    -10.4
[++] Predicted dissociation constant (M) at 25.0˚C:  2.4e-08
",
30,NB_FP_0077.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0077.pdb,True,0,-10.4,2.2e-08,74,5.0,5.0,22.0,3.0,15.0,24.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0077_model0
[+] No. of intermolecular contacts: 74
[+] No. of charged-charged contacts: 5.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 22.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 24.0
[+] Percentage of apolar NIS residues: 43.79
[+] Percentage of charged NIS residues: 20.32
[++] Predicted binding affinity (kcal.mol-1):    -10.4
[++] Predicted dissociation constant (M) at 25.0˚C:  2.2e-08
",
31,NB_FP_0113.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0113.pdb,True,0,-10.4,2.2e-08,59,1.0,3.0,8.0,6.0,25.0,16.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0113_model0
[+] No. of intermolecular contacts: 59
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 8.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 25.0
[+] No. of apolar-apolar contacts: 16.0
[+] Percentage of apolar NIS residues: 44.60
[+] Percentage of charged NIS residues: 18.62
[++] Predicted binding affinity (kcal.mol-1):    -10.4
[++] Predicted dissociation constant (M) at 25.0˚C:  2.2e-08
",
32,NB_FP_0201.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0201.pdb,True,0,-10.3,2.6e-08,50,0.0,5.0,10.0,2.0,20.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0201_model0
[+] No. of intermolecular contacts: 50
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 20.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 43.98
[+] Percentage of charged NIS residues: 18.29
[++] Predicted binding affinity (kcal.mol-1):    -10.3
[++] Predicted dissociation constant (M) at 25.0˚C:  2.6e-08
",
33,NB_FP_0186.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0186.pdb,True,0,-10.3,2.6e-08,45,0.0,6.0,5.0,5.0,24.0,5.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0186_model0
[+] No. of intermolecular contacts: 45
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 24.0
[+] No. of apolar-apolar contacts: 5.0
[+] Percentage of apolar NIS residues: 42.96
[+] Percentage of charged NIS residues: 18.48
[++] Predicted binding affinity (kcal.mol-1):    -10.3
[++] Predicted dissociation constant (M) at 25.0˚C:  2.6e-08
",
