file,path,ok,returncode,dg_kcal_mol,kd_M,intermolecular_contacts,charged_charged_contacts,charged_polar_contacts,charged_apolar_contacts,polar_polar_contacts,apolar_polar_contacts,apolar_apolar_contacts,stdout,stderr
IgG_FP_0020.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0020.pdb,True,0,-11.2,6.5e-09,80,4.0,11.0,19.0,9.0,22.0,15.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0020_model0
[+] No. of intermolecular contacts: 80
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 11.0
[+] No. of charged-apolar contacts: 19.0
[+] No. of polar-polar contacts: 9.0
[+] No. of apolar-polar contacts: 22.0
[+] No. of apolar-apolar contacts: 15.0
[+] Percentage of apolar NIS residues: 40.91
[+] Percentage of charged NIS residues: 19.17
[++] Predicted binding affinity (kcal.mol-1):    -11.2
[++] Predicted dissociation constant (M) at 25.0˚C:  6.5e-09
",
IgG_FP_0021.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0021.pdb,True,0,-12.4,8.3e-10,82,0.0,12.0,10.0,6.0,31.0,23.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0021_model0
[+] No. of intermolecular contacts: 82
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 12.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 31.0
[+] No. of apolar-apolar contacts: 23.0
[+] Percentage of apolar NIS residues: 41.88
[+] Percentage of charged NIS residues: 18.79
[++] Predicted binding affinity (kcal.mol-1):    -12.4
[++] Predicted dissociation constant (M) at 25.0˚C:  8.3e-10
",
IgG_FP_0022.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0022.pdb,True,0,-10.6,1.7e-08,64,2.0,7.0,10.0,5.0,21.0,19.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0022_model0
[+] No. of intermolecular contacts: 64
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 21.0
[+] No. of apolar-apolar contacts: 19.0
[+] Percentage of apolar NIS residues: 40.99
[+] Percentage of charged NIS residues: 19.41
[++] Predicted binding affinity (kcal.mol-1):    -10.6
[++] Predicted dissociation constant (M) at 25.0˚C:  1.7e-08
",
IgG_FP_0023.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0023.pdb,True,0,-10.8,1.1e-08,82,7.0,10.0,16.0,8.0,20.0,21.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0023_model0
[+] No. of intermolecular contacts: 82
[+] No. of charged-charged contacts: 7.0
[+] No. of charged-polar contacts: 10.0
[+] No. of charged-apolar contacts: 16.0
[+] No. of polar-polar contacts: 8.0
[+] No. of apolar-polar contacts: 20.0
[+] No. of apolar-apolar contacts: 21.0
[+] Percentage of apolar NIS residues: 41.04
[+] Percentage of charged NIS residues: 19.32
[++] Predicted binding affinity (kcal.mol-1):    -10.8
[++] Predicted dissociation constant (M) at 25.0˚C:  1.1e-08
",
IgG_FP_0024.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0024.pdb,True,0,-9.4,1.4e-07,81,3.0,12.0,11.0,16.0,24.0,15.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0024_model0
[+] No. of intermolecular contacts: 81
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 12.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 16.0
[+] No. of apolar-polar contacts: 24.0
[+] No. of apolar-apolar contacts: 15.0
[+] Percentage of apolar NIS residues: 41.01
[+] Percentage of charged NIS residues: 18.96
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.4e-07
",
IgG_FP_0025.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0025.pdb,True,0,-11.4,4.0e-09,72,2.0,13.0,20.0,4.0,19.0,14.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0025_model0
[+] No. of intermolecular contacts: 72
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 13.0
[+] No. of charged-apolar contacts: 20.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 19.0
[+] No. of apolar-apolar contacts: 14.0
[+] Percentage of apolar NIS residues: 40.28
[+] Percentage of charged NIS residues: 19.45
[++] Predicted binding affinity (kcal.mol-1):    -11.4
[++] Predicted dissociation constant (M) at 25.0˚C:  4.0e-09
",
IgG_FP_0026.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0026.pdb,True,0,-9.8,6.5e-08,69,2.0,12.0,14.0,8.0,19.0,14.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0026_model0
[+] No. of intermolecular contacts: 69
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 12.0
[+] No. of charged-apolar contacts: 14.0
[+] No. of polar-polar contacts: 8.0
[+] No. of apolar-polar contacts: 19.0
[+] No. of apolar-apolar contacts: 14.0
[+] Percentage of apolar NIS residues: 42.41
[+] Percentage of charged NIS residues: 18.48
[++] Predicted binding affinity (kcal.mol-1):     -9.8
[++] Predicted dissociation constant (M) at 25.0˚C:  6.5e-08
",
IgG_FP_0027.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0027.pdb,True,0,-9.1,2.1e-07,51,4.0,5.0,13.0,1.0,9.0,19.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0027_model0
[+] No. of intermolecular contacts: 51
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 13.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 9.0
[+] No. of apolar-apolar contacts: 19.0
[+] Percentage of apolar NIS residues: 41.70
[+] Percentage of charged NIS residues: 18.58
[++] Predicted binding affinity (kcal.mol-1):     -9.1
[++] Predicted dissociation constant (M) at 25.0˚C:  2.1e-07
",
IgG_FP_0028.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0028.pdb,True,0,-10.3,2.9e-08,93,4.0,9.0,12.0,19.0,30.0,19.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0028_model0
[+] No. of intermolecular contacts: 93
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 9.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 19.0
[+] No. of apolar-polar contacts: 30.0
[+] No. of apolar-apolar contacts: 19.0
[+] Percentage of apolar NIS residues: 41.07
[+] Percentage of charged NIS residues: 19.25
[++] Predicted binding affinity (kcal.mol-1):    -10.3
[++] Predicted dissociation constant (M) at 25.0˚C:  2.9e-08
",
IgG_FP_0029.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0029.pdb,True,0,-9.3,1.5e-07,49,3.0,5.0,12.0,3.0,13.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0029_model0
[+] No. of intermolecular contacts: 49
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 13.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 41.58
[+] Percentage of charged NIS residues: 19.60
[++] Predicted binding affinity (kcal.mol-1):     -9.3
[++] Predicted dissociation constant (M) at 25.0˚C:  1.5e-07
",
IgG_FP_0030.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0030.pdb,True,0,-9.6,9.4e-08,70,7.0,14.0,12.0,7.0,16.0,14.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0030_model0
[+] No. of intermolecular contacts: 70
[+] No. of charged-charged contacts: 7.0
[+] No. of charged-polar contacts: 14.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 7.0
[+] No. of apolar-polar contacts: 16.0
[+] No. of apolar-apolar contacts: 14.0
[+] Percentage of apolar NIS residues: 41.50
[+] Percentage of charged NIS residues: 19.76
[++] Predicted binding affinity (kcal.mol-1):     -9.6
[++] Predicted dissociation constant (M) at 25.0˚C:  9.4e-08
",
IgG_FP_0031.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0031.pdb,True,0,-9.4,1.2e-07,65,1.0,11.0,8.0,7.0,19.0,19.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0031_model0
[+] No. of intermolecular contacts: 65
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 11.0
[+] No. of charged-apolar contacts: 8.0
[+] No. of polar-polar contacts: 7.0
[+] No. of apolar-polar contacts: 19.0
[+] No. of apolar-apolar contacts: 19.0
[+] Percentage of apolar NIS residues: 41.26
[+] Percentage of charged NIS residues: 19.06
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.2e-07
",
IgG_FP_0032.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0032.pdb,True,0,-12.1,1.4e-09,90,7.0,17.0,13.0,9.0,28.0,16.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0032_model0
[+] No. of intermolecular contacts: 90
[+] No. of charged-charged contacts: 7.0
[+] No. of charged-polar contacts: 17.0
[+] No. of charged-apolar contacts: 13.0
[+] No. of polar-polar contacts: 9.0
[+] No. of apolar-polar contacts: 28.0
[+] No. of apolar-apolar contacts: 16.0
[+] Percentage of apolar NIS residues: 41.62
[+] Percentage of charged NIS residues: 19.08
[++] Predicted binding affinity (kcal.mol-1):    -12.1
[++] Predicted dissociation constant (M) at 25.0˚C:  1.4e-09
",
IgG_FP_0033.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0033.pdb,True,0,-12.9,3.3e-10,92,3.0,10.0,14.0,4.0,29.0,32.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0033_model0
[+] No. of intermolecular contacts: 92
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 10.0
[+] No. of charged-apolar contacts: 14.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 29.0
[+] No. of apolar-apolar contacts: 32.0
[+] Percentage of apolar NIS residues: 42.06
[+] Percentage of charged NIS residues: 19.05
[++] Predicted binding affinity (kcal.mol-1):    -12.9
[++] Predicted dissociation constant (M) at 25.0˚C:  3.3e-10
",
